Drug,geneName,log2FoldChange,padj no NA
Enzalutamide,DYRK1A,-0.048982602,1
Enzalutamide,ERG,1.860806837,1
Enzalutamide,ETS2,-0.104635067,1
Enzalutamide,AP001043.1,-0.954634532,1
Enzalutamide,RPL23AP12,-2.216495049,1
Enzalutamide,PSMG1,0.046858987,1
Enzalutamide,BRWD1,0.127990614,1
Enzalutamide,BRWD1-AS2,0.22846593,1
Enzalutamide,BRWD1-AS1,-0.657364145,1
Enzalutamide,HMGN1,-0.014041082,1
Enzalutamide,WRB,0.07104049,1
Enzalutamide,LCA5L,0.435861632,1
Enzalutamide,SH3BGR,-0.516527878,1
Enzalutamide,MYL6P2,1.857865596,1
Enzalutamide,B3GALT5,0.96893372,1
Enzalutamide,IGSF5,-0.319344683,1
Enzalutamide,PCP4,0,1
Enzalutamide,DSCAM-AS1,-0.954654224,1
Enzalutamide,BACE2,-0.320739152,1
Enzalutamide,PLAC4,-0.887634108,1
Enzalutamide,FAM3B,-0.137982529,1
Enzalutamide,MX2,0.441114587,1
Enzalutamide,MX1,0.072530373,1
Enzalutamide,TMPRSS2,-0.908894332,1.33457E-15
Enzalutamide,RF00421,0.007140087,1
Enzalutamide,AP006748.1,-1.59593009,1
Enzalutamide,LINC00111,1.395758226,1
Enzalutamide,LINC00479,-0.892282393,1
Enzalutamide,RIPK4,-0.192826858,1
Enzalutamide,MIR6814,0,1
Enzalutamide,PRDM15,-0.104254039,1
Enzalutamide,AP001619.2,1.50757927,1
Enzalutamide,AP001619.1,0.648514685,1
Enzalutamide,C2CD2,0.044841081,1
Enzalutamide,ZBTB21,-0.110199178,1
Enzalutamide,ZNF295-AS1,0.998468923,1
Enzalutamide,UMODL1,-0.132016934,1
Enzalutamide,UMODL1-AS1,1.508498662,1
Enzalutamide,ABCG1,0.319805308,1
Enzalutamide,TFF3,0.139619597,1
Enzalutamide,TFF1,-0.074541913,1
Enzalutamide,TMPRSS3,0.025406413,1
Enzalutamide,RSPH1,0.076644956,1
Enzalutamide,SLC37A1,0.041627769,1
Enzalutamide,AP001625.3,-2.214075647,1
Enzalutamide,AP001625.2,0.667929187,1
Enzalutamide,LINC01671,-0.418560841,1
Enzalutamide,AP001626.1,-0.562261772,1
Enzalutamide,PDE9A,-0.248541166,1
Enzalutamide,AP001627.1,0.432437623,1
Enzalutamide,LINC01668,-0.444308612,1
Enzalutamide,AP001628.1,-0.00065444,1
Enzalutamide,WDR4,-0.050203596,1
Enzalutamide,NDUFV3,-0.012680014,1
Enzalutamide,ERVH48-1,-0.131109433,1
Enzalutamide,MIR5692B,1.575729889,1
Enzalutamide,AP001630.1,0.580355764,1
Enzalutamide,PKNOX1,-0.090616715,1
Enzalutamide,CBS,-0.054131924,1
Enzalutamide,U2AF1,-0.054450862,1
Enzalutamide,LINC00322,0.968930777,1
Enzalutamide,SIK1,0.258076754,1
Enzalutamide,LINC00319,-0.20540283,1
Enzalutamide,LINC00313,0.684419011,1
Enzalutamide,AP001048.1,0.626264321,1
Enzalutamide,HSF2BP,0.111301849,1
Enzalutamide,H2BFS.1,-0.268145253,1
Enzalutamide,RRP1B,-0.021157903,1
Enzalutamide,PDXK,-0.037699069,1
Enzalutamide,AP001052.1,-0.005021949,1
Enzalutamide,CSTB,-0.054474409,1
Enzalutamide,RRP1,0.03922313,1
Enzalutamide,AATBC,0.230714529,1
Enzalutamide,AGPAT3,0.005611177,1
Enzalutamide,TRAPPC10,0.007565771,1
Enzalutamide,PWP2,0.042908702,1
Enzalutamide,GATD3A,-0.058781859,1
Enzalutamide,LINC01678,0.441910333,1
Enzalutamide,AP001056.2,-0.722621655,1
Enzalutamide,AP001056.1,0,1
Enzalutamide,AP001057.1,0.968931058,1
Enzalutamide,ICOSLG,0.075813549,1
Enzalutamide,AP001059.3,0.136513428,1
Enzalutamide,AP001059.2,0.375766824,1
Enzalutamide,DNMT3L,1.236792622,1
Enzalutamide,AP001059.1,0.007140069,1
Enzalutamide,AIRE,-2.858784083,1
Enzalutamide,PFKL,-0.072854691,1
Enzalutamide,CFAP410,-0.126131225,1
Enzalutamide,AP001062.1,0.085237881,1
Enzalutamide,AP001062.2,0.140566852,1
Enzalutamide,AP001063.1,-0.954652799,1
Enzalutamide,TRPM2,-0.04718935,1
Enzalutamide,TRPM2-AS,0.088923855,1
Enzalutamide,LRRC3-DT,-1.892764492,1
Enzalutamide,LRRC3,-0.270257344,1
Enzalutamide,MTCYBP21,0,1
Enzalutamide,MTND6P21,0,1
Enzalutamide,MTND5P1,0.022487415,1
Enzalutamide,AP001065.1,-0.481673182,1
Enzalutamide,LINC02575,0.298967061,1
Enzalutamide,TSPEAR,-0.103191788,1
Enzalutamide,TSPEAR-AS1,0.208191457,1
Enzalutamide,TSPEAR-AS2,0.093423713,1
Enzalutamide,IMMTP1,1.903897262,1
Enzalutamide,KRTAP10-12,-1.85129835,1
Enzalutamide,KRTAP10-13P,-1.85129835,1
Enzalutamide,UBE2G2,-0.058874926,1
Enzalutamide,LINC01424,0.112652375,1
Enzalutamide,SUMO3,-0.051964476,1
Enzalutamide,PTTG1IP,-0.062403376,1
Enzalutamide,ITGB2,-0.091567242,1
Enzalutamide,AL844908.2,0.047709683,1
Enzalutamide,LINC01547,0.028322809,1
Enzalutamide,AL844908.1,-0.349667895,1
Enzalutamide,FAM207A,0.005273071,1
Enzalutamide,AP001505.1,0.276280807,1
Enzalutamide,PICSAR,-0.88772049,1
Enzalutamide,SSR4P1,0.133798008,1
Enzalutamide,ADARB1,-0.111265621,1
Enzalutamide,LINC00334,0.296767163,1
Enzalutamide,POFUT2,-0.021050033,1
Enzalutamide,LINC00205,0.076710192,1
Enzalutamide,LINC00315,-0.594397543,1
Enzalutamide,BX322562.1,0.114417474,1
Enzalutamide,COL18A1,-0.026748308,1
Enzalutamide,COL18A1-AS1,0.00714009,1
Enzalutamide,SLC19A1,0.04839768,1
Enzalutamide,LINC01694,0.025976038,1
Enzalutamide,PCBP3,0.074831276,1
Enzalutamide,AL592528.1,-0.5775142,1
Enzalutamide,AJ239328.1,-0.089192517,1
Enzalutamide,COL6A1,-0.057327574,1
Enzalutamide,AP001476.1,0.938268674,1
Enzalutamide,COL6A2,-0.005516727,1
Enzalutamide,FTCD,0.735661015,1
Enzalutamide,SPATC1L,-0.138834545,1
Enzalutamide,AP001468.1,-0.95465257,1
Enzalutamide,LSS,-0.035008672,1
Enzalutamide,AP001469.1,-0.004185108,1
Enzalutamide,MCM3AP-AS1,-0.029996912,1
Enzalutamide,MCM3AP,-0.050355799,1
Enzalutamide,AP001469.2,0.325860403,1
Enzalutamide,AP001469.3,-0.003088891,1
Enzalutamide,YBEY,0.050964957,1
Enzalutamide,C21orf58,0.03220824,1
Enzalutamide,PCNT,0.053265385,1
Enzalutamide,RPL18AP2,-1.850878938,1
Enzalutamide,DIP2A,0.072718726,1
Enzalutamide,DIP2A-IT1,0.909531792,1
Enzalutamide,PRMT2,-0.080672592,1
Enzalutamide,DSTNP1,0.418166758,1
Enzalutamide,RPL23AP4,-0.051804748,1
Enzalutamide,FRG1FP,0.203248642,1
Enzalutamide,CU104787.1,-0.601792516,1
Enzalutamide,FRG1GP,0.149654515,1
Enzalutamide,AP000542.3,-0.048734025,1
Enzalutamide,AP000534.2,0.007140095,1
Enzalutamide,AP000533.2,-0.820279965,1
Enzalutamide,AP000533.1,0.087519672,1
Enzalutamide,NEK2P2,-0.023742654,1
Enzalutamide,NF1P6,0.968930772,1
Enzalutamide,MED15P7,0.007140002,1
Enzalutamide,POTEH,-0.26065456,1
Enzalutamide,POTEH-AS1,-0.877792992,1
Enzalutamide,AP000529.1,-0.467397497,1
Enzalutamide,LINC01297.1,-0.759731475,1
Enzalutamide,DUXAP8,-0.201279377,1
Enzalutamide,AP000526.1,-0.595120587,1
Enzalutamide,BMS1P22,-0.18887424,1
Enzalutamide,AP000525.1,0.000525788,1
Enzalutamide,NBEAP3,0.563584097,1
Enzalutamide,AP000523.1,0.241387378,1
Enzalutamide,AC137499.1,0.387608538,1
Enzalutamide,KCNMB3P1,0.698684766,1
Enzalutamide,VWFP1,-0.391704144,1
Enzalutamide,CECR7,0.079857945,1
Enzalutamide,AC006946.2,0.636771939,1
Enzalutamide,AC006946.3,-0.00654513,1
Enzalutamide,IL17RA,-0.205776204,1
Enzalutamide,AC006946.1,0.968928922,1
Enzalutamide,TMEM121B,-0.889219902,0.683698203
Enzalutamide,LINC01664,0.253906836,1
Enzalutamide,HDHD5,-0.076255129,1
Enzalutamide,HDHD5-AS1,0.170448679,1
Enzalutamide,ADA2,-0.355114394,1
Enzalutamide,CECR2,-0.13066519,1
Enzalutamide,SLC25A18,-0.201578947,1
Enzalutamide,AC007666.1,-1.850913237,1
Enzalutamide,ATP6V1E1,-0.032329531,1
Enzalutamide,BCL2L13,-0.068507755,1
Enzalutamide,BID,-0.033538831,1
Enzalutamide,LINC00528,-1.856853927,1
Enzalutamide,MICAL3,-0.142079103,1
Enzalutamide,AC016026.1,-1.340402483,1
Enzalutamide,AC016027.2,-0.597679006,1
Enzalutamide,LINC01634,-0.8775041,1
Enzalutamide,AC016027.1,-0.211664207,1
Enzalutamide,PEX26,-0.076985507,1
Enzalutamide,TUBA8,-0.157816462,1
Enzalutamide,AC008079.1,-0.463494543,1
Enzalutamide,USP18,-0.131866857,1
Enzalutamide,LINC02592,0,1
Enzalutamide,GGTLC5P,0.390901648,1
Enzalutamide,LINC01660,0,1
Enzalutamide,FAM230A,0.968930669,1
Enzalutamide,AC023490.3,0.446584832,1
Enzalutamide,GGTLC3,0.986120313,1
Enzalutamide,TMEM191B,-0.070612788,1
Enzalutamide,PI4KAP1,0.004288297,1
Enzalutamide,RIMBP3,-0.061464496,1
Enzalutamide,LINC01662,0.343206464,1
Enzalutamide,GGT3P,0.441564339,1
Enzalutamide,E2F6P1,0.178801073,1
Enzalutamide,AC008132.1,0.054405164,1
Enzalutamide,BCRP7,0.238411189,1
Enzalutamide,DGCR6,-0.042076769,1
Enzalutamide,PRODH,0.068828722,1
Enzalutamide,AC007326.5,0.583150207,1
Enzalutamide,DGCR5,-0.750214525,1
Enzalutamide,DGCR9,-0.324515322,1
Enzalutamide,DGCR10,-1.858827477,1
Enzalutamide,CA15P1,-0.888934029,1
Enzalutamide,DGCR2,-0.040544025,1
Enzalutamide,RF00019.82,1.430234499,1
Enzalutamide,DGCR11,-0.274954111,1
Enzalutamide,AC004461.2,-0.008548051,1
Enzalutamide,AC004471.1,0.021723935,1
Enzalutamide,AC004471.2,0.537483331,1
Enzalutamide,TSSK1A,1.006329713,1
Enzalutamide,ESS2,-0.081324967,1
Enzalutamide,GSC2,0.631330997,1
Enzalutamide,LINC01311,0.147080674,1
Enzalutamide,SLC25A1,-0.050685751,1
Enzalutamide,CLTCL1,-0.10161863,1
Enzalutamide,HIRA,0.021464976,1
Enzalutamide,C22orf39,-0.077563081,1
Enzalutamide,MRPL40,-0.022853638,1
Enzalutamide,AC000068.1,0.030546631,1
Enzalutamide,UFD1,-0.092673729,1
Enzalutamide,AC000068.2,-0.195005573,1
Enzalutamide,CDC45,-0.065568083,1
Enzalutamide,CLDN5,-0.185643379,1
Enzalutamide,05-Sep,-0.156619625,1
Enzalutamide,SEPT5-GP1BB,0.32010316,1
Enzalutamide,TBX1,-0.024420361,1
Enzalutamide,GNB1L,0.09836637,1
Enzalutamide,AC000089.1,0.268010014,1
Enzalutamide,RTL10,-0.029103103,1
Enzalutamide,TXNRD2,0.001149722,1
Enzalutamide,AC000078.1,0.096514999,1
Enzalutamide,COMT,0.032561603,1
Enzalutamide,MIR4761,-0.889391585,1
Enzalutamide,ARVCF,-0.043262812,1
Enzalutamide,TANGO2,-0.173132501,1
Enzalutamide,AC006547.1,-0.226588765,1
Enzalutamide,DGCR8,-0.084688947,1
Enzalutamide,TRMT2A,0.069932953,1
Enzalutamide,RANBP1,-0.009356388,1
Enzalutamide,ZDHHC8,-0.120881395,1
Enzalutamide,CCDC188,-0.574079622,1
Enzalutamide,AC007663.2,-1.477003012,1
Enzalutamide,LINC00896,-0.518933363,1
Enzalutamide,RTN4R,0.08420964,1
Enzalutamide,AC007663.1,-0.783221161,1
Enzalutamide,DGCR6L,-0.031837482,1
Enzalutamide,AC007663.4,-0.203497649,1
Enzalutamide,AC007663.3,-0.308084724,1
Enzalutamide,AC007731.1,-0.695387812,1
Enzalutamide,USP41,-0.185769031,1
Enzalutamide,ZNF74,-0.043519761,1
Enzalutamide,SCARF2,0.078428171,1
Enzalutamide,KLHL22,-0.056762513,1
Enzalutamide,AC007731.2,-0.00140651,1
Enzalutamide,RNY1P9,0.007140092,1
Enzalutamide,RF00019.83,0.96893231,1
Enzalutamide,RN7SL812P,0.968934211,1
Enzalutamide,KRT18P5,2.23475776,1
Enzalutamide,MED15,-0.110624557,1
Enzalutamide,SLC9A3P2,0,1
Enzalutamide,ABHD17AP4,0.279599338,1
Enzalutamide,POM121L4P,0.335625489,1
Enzalutamide,BCRP5,-1.468991765,1
Enzalutamide,TMEM191A,-0.047805659,1
Enzalutamide,PI4KA,-0.092202153,1
Enzalutamide,SERPIND1,0.598483478,1
Enzalutamide,SNAP29,-0.005424471,1
Enzalutamide,CRKL,-0.150914026,1
Enzalutamide,AIFM3,-0.217099349,1
Enzalutamide,AC002470.2,0.007140081,1
Enzalutamide,AC002470.1,-0.028171332,1
Enzalutamide,LZTR1,0.030785271,1
Enzalutamide,THAP7,-0.022409926,1
Enzalutamide,THAP7-AS1,-0.134545185,1
Enzalutamide,TUBA3FP,-0.877128677,1
Enzalutamide,P2RX6,1.751459188,1
Enzalutamide,BCRP2,-0.126189462,1
Enzalutamide,AP000550.1,0.610170204,1
Enzalutamide,POM121L7P,0.007140085,1
Enzalutamide,E2F6P2,0.338949948,1
Enzalutamide,FAM230B,0.759678398,1
Enzalutamide,AP000550.4,-0.442327463,1
Enzalutamide,GGT2,0.26154928,1
Enzalutamide,AP000550.3,0.019163196,1
Enzalutamide,E2F6P3,0.365127956,1
Enzalutamide,POM121L8P,0.96892185,1
Enzalutamide,BCRP6,0.212848493,1
Enzalutamide,AP000552.1,0.937580678,1
Enzalutamide,RIMBP3B,-0.047835413,1
Enzalutamide,HIC2,-0.065355546,1
Enzalutamide,TMEM191C,-0.026246624,1
Enzalutamide,PI4KAP2,0.050815529,1
Enzalutamide,RIMBP3C,-0.024784718,1
Enzalutamide,UBE2L3,-0.053853084,1
Enzalutamide,YDJC,-0.003950375,1
Enzalutamide,CCDC116,0.273234201,1
Enzalutamide,AP000553.3,0.968934598,1
Enzalutamide,SDF2L1,-0.275932124,1
Enzalutamide,AP000553.1,-0.539558308,1
Enzalutamide,AP000553.5,-2.001214444,1
Enzalutamide,AP000553.6,0.888837401,1
Enzalutamide,AP000553.7,-0.59393353,1
Enzalutamide,AP000553.4,1.475700717,1
Enzalutamide,AP000553.2,1.556957993,1
Enzalutamide,PPIL2,-0.007778611,1
Enzalutamide,YPEL1,0.163091,1
Enzalutamide,MAPK1,0.005033479,1
Enzalutamide,AC245452.2,0.061710608,1
Enzalutamide,PPM1F,-0.060630673,1
Enzalutamide,AC245452.1,-0.075701663,1
Enzalutamide,TOP3B,-1.009109658,1
Enzalutamide,ABHD17AP5,0.542188651,1
Enzalutamide,TOP3BP1,0.03354846,1
Enzalutamide,AC245060.6,-0.071006404,1
Enzalutamide,AC245060.5,0.783879303,1
Enzalutamide,AC245060.2,0.852358209,1
Enzalutamide,AC245060.4,0.117978403,1
Enzalutamide,IGLV5-52,-0.494957916,1
Enzalutamide,IGLV1-51,0.003498953,1
Enzalutamide,IGLV1-50,1.386374939,1
Enzalutamide,ZNF280B,-0.119526141,1
Enzalutamide,ZNF280A,-0.377441516,1
Enzalutamide,PRAME,-0.090792431,1
Enzalutamide,LL22NC03-63E9.3,-0.18057722,1
Enzalutamide,BCRP4,0.437739603,1
Enzalutamide,GGTLC2,-0.257637997,1
Enzalutamide,AC245054.2,0.007140086,1
Enzalutamide,RSPH14,-0.015958006,1
Enzalutamide,GNAZ,-0.069555552,1
Enzalutamide,RF00066,-0.424188552,1
Enzalutamide,RAB36,-0.05817396,1
Enzalutamide,BCR,-0.062584662,1
Enzalutamide,BCRP8,-0.393689724,1
Enzalutamide,RN7SL263P,1.371964692,1
Enzalutamide,FBXW4P1,0.070766106,1
Enzalutamide,AP000343.1,-2.84762755,1
Enzalutamide,CES5AP1,0.968926026,1
Enzalutamide,ZDHHC8P1,-0.36513681,1
Enzalutamide,AP000344.2,-0.009250481,1
Enzalutamide,LINC01659,-0.679887131,1
Enzalutamide,AP000344.1,1.881336141,1
Enzalutamide,PCAT14,-1.230093518,1
Enzalutamide,AP000345.2,1.880451848,1
Enzalutamide,DRICH1,-1.625122775,1
Enzalutamide,AP000346.1,2.477698695,1
Enzalutamide,GUSBP11,0.35270184,1
Enzalutamide,AP000346.2,-1.423176562,1
Enzalutamide,ASLP1,1.434968217,1
Enzalutamide,AP000347.2,2.688430263,1
Enzalutamide,AP000347.1,0.546377413,1
Enzalutamide,RGL4,-0.015045301,1
Enzalutamide,ZNF70,-0.013661223,1
Enzalutamide,VPREB3,0.101014218,1
Enzalutamide,C22orf15,-0.574471614,1
Enzalutamide,CHCHD10,-0.079811562,1
Enzalutamide,MMP11,0.073041984,1
Enzalutamide,SMARCB1,-0.051729342,1
Enzalutamide,DERL3,-0.228432865,1
Enzalutamide,AP000350.5,-0.743328195,1
Enzalutamide,SLC2A11,-0.021089357,1
Enzalutamide,AP000350.7,-0.265852943,1
Enzalutamide,RN7SL268P,0.129230817,1
Enzalutamide,MIF,0.299623291,1
Enzalutamide,MIF-AS1,-0.146851083,1
Enzalutamide,AP000350.6,-0.074837195,1
Enzalutamide,AP000350.2,0,1
Enzalutamide,GSTT2B,-0.110199628,1
Enzalutamide,AC253536.2,0.99450314,1
Enzalutamide,DDTL,-0.123723183,1
Enzalutamide,AC253536.6,0.225802277,1
Enzalutamide,DDT,-0.03343717,1
Enzalutamide,GSTT2,-0.142371887,1
Enzalutamide,CABIN1,-0.103126485,1
Enzalutamide,AC253536.3,0.063465551,1
Enzalutamide,SUSD2,-0.019552851,1
Enzalutamide,GGT5,2.875349995,1
Enzalutamide,GGTLC4P,-2.690559564,1
Enzalutamide,POM121L9P,0.088382036,1
Enzalutamide,AP000354.1,0.007140102,1
Enzalutamide,SPECC1L,-0.071150925,1
Enzalutamide,ADORA2A,0.279865089,1
Enzalutamide,ADORA2A-AS1,-0.496901395,1
Enzalutamide,UPB1,-0.184813488,1
Enzalutamide,GUCD1,-0.071244106,1
Enzalutamide,SNRPD3,0.00924122,1
Enzalutamide,GGT1,-0.047630273,1
Enzalutamide,LRRC75B,-0.023810223,1
Enzalutamide,AP000356.1,-0.889321244,1
Enzalutamide,BCRP3,-1.463475739,1
Enzalutamide,AP000356.3,-0.714557488,1
Enzalutamide,AP000356.2,-0.315609466,1
Enzalutamide,AP000357.1,-0.418052541,1
Enzalutamide,SGSM1,0.123641528,1
Enzalutamide,KIAA1671,-0.039338199,1
Enzalutamide,AL022323.4,0.237603658,1
Enzalutamide,AL022323.1,0.095002872,1
Enzalutamide,CRYBB3,-0.297865737,1
Enzalutamide,Z99916.1,-0.876370979,1
Enzalutamide,CRYBB2,-0.402516858,1
Enzalutamide,AL022324.1,0.861669899,1
Enzalutamide,AL022324.2,-0.745350831,1
Enzalutamide,LRP5L,0.516887234,1
Enzalutamide,AL022324.3,0.756509588,1
Enzalutamide,AL008721.1,0.425296991,1
Enzalutamide,IGLVIVOR22-1,0.001474828,1
Enzalutamide,CRYBB2P1,0.172692968,1
Enzalutamide,AL008721.2,0.303516923,1
Enzalutamide,AL022329.1,0.005791091,1
Enzalutamide,GRK3,-0.002075986,1
Enzalutamide,YES1P1,1.857563874,1
Enzalutamide,MYO18B,-0.954641572,1
Enzalutamide,ASPHD2,-0.443240761,1
Enzalutamide,HPS4,-0.00499052,1
Enzalutamide,SRRD,-0.108903846,1
Enzalutamide,TFIP11,-0.102463322,1
Enzalutamide,Z95115.1,0.146354801,1
Enzalutamide,TPST2,-0.131630851,1
Enzalutamide,HMGB1P10,0.208654673,1
Enzalutamide,CRYBB1,2.941350347,1
Enzalutamide,CRYBA4,-2.442102299,1
Enzalutamide,MIAT,0,1
Enzalutamide,MIATNB,0.10379764,1
Enzalutamide,Z97353.1,0.457276807,1
Enzalutamide,MN1,-1.858257557,1
Enzalutamide,PITPNB,0.002769242,1
Enzalutamide,TTC28-AS1,0.073552447,1
Enzalutamide,TTC28,-0.068247367,1
Enzalutamide,CHEK2,0.095149677,1
Enzalutamide,HSCB,0.029107376,1
Enzalutamide,CCDC117,0.031253281,1
Enzalutamide,XBP1,0.048334273,1
Enzalutamide,Z93930.2,0.100021563,1
Enzalutamide,Z93930.3,-0.00367121,1
Enzalutamide,ZNRF3,0.03125068,1
Enzalutamide,KREMEN1,-0.118126195,1
Enzalutamide,AL021393.1,-0.895631313,1
Enzalutamide,EMID1,-0.201849755,1
Enzalutamide,RHBDD3,-0.070448468,1
Enzalutamide,AL031186.1,-0.388781748,1
Enzalutamide,EWSR1,-0.042433318,1
Enzalutamide,GAS2L1,-0.180472923,1
Enzalutamide,RASL10A,-0.328070843,1
Enzalutamide,AC002059.1,-0.031562757,1
Enzalutamide,AP1B1,-0.156911409,1
Enzalutamide,MIR3653,0.968926041,1
Enzalutamide,AC002059.2,0.007372845,1
Enzalutamide,RFPL4AP6,-0.827249707,1
Enzalutamide,RFPL1S,0.196451847,1
Enzalutamide,NEFH,-0.007145147,1
Enzalutamide,THOC5,-0.119239924,1
Enzalutamide,NIPSNAP1,-0.000196093,1
Enzalutamide,NF2,-0.073526405,1
Enzalutamide,CABP7,0.015657034,1
Enzalutamide,ZMAT5,-0.06038183,1
Enzalutamide,UQCR10,-0.038389424,1
Enzalutamide,ASCC2,-0.031554918,1
Enzalutamide,MTMR3,-0.11291841,1
Enzalutamide,AC003681.1,0.477632091,1
Enzalutamide,HORMAD2-AS1,0.968932065,1
Enzalutamide,CNN2P1,1.832682717,1
Enzalutamide,AC003071.1,-1.833788602,1
Enzalutamide,LIF,0.036809583,1
Enzalutamide,AC004264.1,-1.257725883,1
Enzalutamide,AC004264.2,-2.850443394,1
Enzalutamide,CASTOR1,-0.610501266,1
Enzalutamide,AC004997.1,0.968929068,1
Enzalutamide,TBC1D10A,-0.303473971,1
Enzalutamide,SF3A1,-0.111741748,1
Enzalutamide,CCDC157,-0.134873014,1
Enzalutamide,RNF215,-0.048929239,1
Enzalutamide,SEC14L2,-0.396722188,1
Enzalutamide,AC004832.5,-0.995145462,1
Enzalutamide,RNU6-564P,-1.86775128,1
Enzalutamide,AC004832.4,-0.004342601,1
Enzalutamide,MTFP1,-0.274188604,1
Enzalutamide,SIRPAP1,-1.473796403,1
Enzalutamide,PES1,-0.032265778,1
Enzalutamide,TCN2,1.881746795,1
Enzalutamide,SLC35E4,-0.228788008,1
Enzalutamide,DUSP18,-0.214442992,1
Enzalutamide,AC003072.1,-0.121246605,1
Enzalutamide,OSBP2,-0.085543926,1
Enzalutamide,EIF4HP2,-0.000902585,1
Enzalutamide,MORC2-AS1,-0.588684991,1
Enzalutamide,MORC2,-0.137711089,1
Enzalutamide,TUG1,0.064783157,1
Enzalutamide,AC005005.4,0.408984351,1
Enzalutamide,SMTN,-0.116688021,1
Enzalutamide,AC005005.3,1.487924049,1
Enzalutamide,SELENOM,-0.098397533,1
Enzalutamide,INPP5J,0.220975026,1
Enzalutamide,PLA2G3,0,1
Enzalutamide,AC005005.1,3.118282625,1
Enzalutamide,RNF185,0.0131044,1
Enzalutamide,LIMK2,-0.014242317,1
Enzalutamide,PIK3IP1,0.243007419,1
Enzalutamide,PIK3IP1-AS1,-0.341466609,1
Enzalutamide,PATZ1,0.099751758,1
Enzalutamide,LINC01521,-0.040926532,1
Enzalutamide,DRG1,-0.03637887,1
Enzalutamide,EIF4ENIF1,0.093549345,1
Enzalutamide,AL096701.3,0.895944367,1
Enzalutamide,SFI1,0.000276697,1
Enzalutamide,AL096701.1,0.011243796,1
Enzalutamide,PISD,-0.075771208,1
Enzalutamide,PRR14L,-0.027247096,1
Enzalutamide,DEPDC5,-0.145780584,1
Enzalutamide,C22orf24,0.796205668,1
Enzalutamide,YWHAH,-0.099917723,1
Enzalutamide,AL008719.1,-0.954635416,1
Enzalutamide,Z74021.1,0.010000837,1
Enzalutamide,SLC5A1,0.2788916,1
Enzalutamide,C22orf42,-2.167411232,1
Enzalutamide,RFPL2,-0.064785257,1
Enzalutamide,IGLCOR22-1,1.765735136,1
Enzalutamide,SLC5A4-AS1,-0.433421571,1
Enzalutamide,SLC5A4,0.189600158,1
Enzalutamide,CPSF1P1,-0.491978425,1
Enzalutamide,AL008723.1,-0.81843835,1
Enzalutamide,AL008723.3,0.784873599,1
Enzalutamide,AL021937.1,0.587754581,1
Enzalutamide,AL021937.4,-0.887786486,1
Enzalutamide,AL021937.2,1.466937281,1
Enzalutamide,RTCB,-0.101848877,1
Enzalutamide,BPIFC,2.851468026,1
Enzalutamide,FBXO7,0.02096048,1
Enzalutamide,SYN3,0.968926426,1
Enzalutamide,TIMP3,0.008934242,1
Enzalutamide,LARGE1,-0.053938717,1
Enzalutamide,LARGE-AS1,-1.491499348,1
Enzalutamide,AL021877.1,-1.849684968,1
Enzalutamide,ISX,0.255872931,1
Enzalutamide,LINC01399,-0.484111179,1
Enzalutamide,HMGXB4,-0.021181107,1
Enzalutamide,AL008635.1,0.007140058,1
Enzalutamide,TOM1,-0.035773285,1
Enzalutamide,HMOX1,-0.109914559,1
Enzalutamide,MCM5,-0.042374608,1
Enzalutamide,RASD2,-0.159021428,1
Enzalutamide,MB,0.075638456,1
Enzalutamide,APOL6,0.329339162,1
Enzalutamide,RBFOX2,0.012680054,1
Enzalutamide,NDUFA9P1,0.968933813,1
Enzalutamide,Z82217.1,0.771728769,1
Enzalutamide,Z95114.3,0,1
Enzalutamide,APOL3,0.001733641,1
Enzalutamide,APOL4,-0.180010524,1
Enzalutamide,APOL2,-0.020669598,1
Enzalutamide,APOL1,-0.003474245,1
Enzalutamide,MYH9,-0.100655281,1
Enzalutamide,FO393418.1,1.393222389,1
Enzalutamide,RPS15AP38,0.471284214,1
Enzalutamide,AL022313.2,0.011497944,1
Enzalutamide,TXN2,-0.034813447,1
Enzalutamide,FOXRED2,-0.065192404,1
Enzalutamide,EIF3D,0.014404856,1
Enzalutamide,IFT27,0.000713348,1
Enzalutamide,NCF4,0.007140071,1
Enzalutamide,CSF2RB,0.910305211,1
Enzalutamide,TST,-0.130241556,1
Enzalutamide,RF00019.84,-0.433512722,1
Enzalutamide,MPST,-0.108859335,1
Enzalutamide,KCTD17,-0.076506675,1
Enzalutamide,TMPRSS6,0.209149669,1
Enzalutamide,IL2RB,-0.439184401,1
Enzalutamide,C1QTNF6,-0.025399875,1
Enzalutamide,RAC2,1.888084086,1
Enzalutamide,ELFN2,-0.601564004,1
Enzalutamide,ELFN2.1,0.131107759,1
Enzalutamide,MFNG,0.007140056,1
Enzalutamide,CARD10,-0.025311127,1
Enzalutamide,CDC42EP1,-0.01961294,1
Enzalutamide,GGA1,-0.016799429,1
Enzalutamide,SH3BP1,-0.057876563,1
Enzalutamide,Z83844.2,2.343437438,1
Enzalutamide,PDXP,-0.227193573,1
Enzalutamide,LGALS1,-0.401796103,1
Enzalutamide,NOL12,-0.250923312,1
Enzalutamide,TRIOBP,-0.06448643,1
Enzalutamide,H1F0,-0.153064305,1
Enzalutamide,GCAT,-0.102479457,1
Enzalutamide,GALR3,-0.344647663,1
Enzalutamide,ANKRD54,-0.057298058,1
Enzalutamide,MIR659,-0.36955317,1
Enzalutamide,EIF3L,-0.030810478,1
Enzalutamide,AL022311.1,-0.324650036,1
