TCGA Up,TCGA Up Name,VPC Up,TCGA Down,TCGA Down Name,VPC Down,Consensus Up,Consensus Down
5865,RAB3B,,196047,EMX2OS,,,
5881,RAC3,,133121,ENPP6,,,
8438,RAD54L,,956,ENTPD3,,,
646024,RAET1K,,23136,EPB41L3,,,
5909,RAP1GAP,,1969,EPHA2,,,
201299,RDM1,,2044,EPHA5,,,
83998,REG4,,2047,EPHB1,,,
222546,RFX6,,79852,EPHX3,,,
6001,RGS10,,253152,EPHX4,,,
8786,RGS11,,2066,ERBB4,,,
114822,RHPN1,,10595,ERN2,,,
284716,RIMKLA,,339768,ESPNL,,,
146206,RLTPR,,55224,ETNK2,,,
114804,RNF157,,2114,ETS2,,,
84900,RNFT2,,2117,ETV3,,,
54763,ROPN1,,2119,ETV5,,,
152015,ROPN1B,,132884,EVC2,,,
57096,RPGRIP1,,645027,EVPLL,,,
644511,RPL13AP6,,2128,EVX1,,,
200916,RPL22L1,,344191,EVX2,,,
6173,RPL36A,,2138,EYA1,,,
388394,RPRML,,2070,EYA4,,,
6241,RRM2,,2159,F10,,,
728194,RSPH10B2,,2155,F7,,,
349667,RTN4RL2,,2170,FABP3,,,
140700,SAMD10,,2167,FABP4,,,
389432,SAMD5,,2173,FABP7,,,
388228,SBK1,,3992,FADS1,,,
6339,SCNN1D,,9415,FADS2,,,
221935,SDK1,,11170,FAM107A,,,
10993,SDS,,642273,FAM110C,,,
124404,SEPT12,,220108,FAM124A,,,
55964,SEPT3,,728215,FAM155A,,,
619189,SERINC4,,221303,FAM162B,,,
256394,SERPINA11,,148753,FAM163A,,,
6424,SFRP4,,83648,FAM167A,,,
729238,SFTPA2,,84141,FAM176A,,,
26084,SGEF,,51252,FAM178B,,,
151648,SGOL1,,220382,FAM181B,,,
57630,SH3RF1,,642938,FAM196A,,,
79801,SHCBP1,,100131897,FAM196B,,,
6474,SHOX2,,407738,FAM19A1,,,
6493,SIM2,,338811,FAM19A2,,,
6495,SIX1,,63895,FAM38B,,,
220134,SKA1,,55603,FAM46A,,,
221150,SKA3,,115572,FAM46B,,,
201780,SLC10A4,,170067,FAM48B2,,,
347051,SLC10A5,,54827,FAM55D,,,
57468,SLC12A5,,57795,FAM5B,,,
84561,SLC12A8,,9750,FAM65B,,,
64849,SLC13A3,,84985,FAM83A,,,
6573,SLC19A1,,222584,FAM83B,,,
387775,SLC22A10,,128876,FAM83C,,,
55867,SLC22A11,,55138,FAM90A1,,,
85413,SLC22A16,,137392,FAM92A1,,,
151295,SLC23A3,,2196,FAT2,,,
283652,SLC24A5,,120114,FAT3,,,
1468,SLC25A10,,79633,FAT4,,,
79751,SLC25A22,,2201,FBN2,,,
9481,SLC25A27,,8789,FBP2,,,
283130,SLC25A45,,25827,FBXL2,,,
10861,SLC26A1,,26223,FBXL21,,,
65010,SLC26A6,,283807,FBXL22,,,
11001,SLC27A2,,115290,FBXO17,,,
148641,SLC35F3,,26232,FBXO2,,,
8501,SLC43A1,,126433,FBXO27,,,
51151,SLC45A2,,2205,FCER1A,,,
85414,SLC45A3,,8857,FCGBP,,,
8671,SLC4A4,,2215,FCGR3B,,,
6538,SLC6A11,,127943,FCRLB,,,
388662,SLC6A17,,2241,FER,,,
23657,SLC7A11,,55612,FERMT1,,,
6579,SLCO1A2,,10979,FERMT2,,,
28234,SLCO1B3,,9638,FEZ1,,,
6585,SLIT1,,2255,FGF10,,,
27293,SMPDL3B,,2247,FGF2,,,
283596,SNHG10,,2252,FGF7,,,
8420,SNHG3,,9982,FGFBP1,,,
751867,SNHG3-RCC1,,2263,FGFR2,,,
724102,SNHG4,,2273,FHL1,,,
735301,SNHG9,,2274,FHL2,,,
677821,SNORA39,,9457,FHL5,,,
79856,SNX22,,80206,FHOD3,,,
8403,SOX14,,27145,FILIP1,,,
30812,SOX8,,11259,FILIP1L,,,
389058,SP5,,360132,FKBP9L,,,
10615,SPAG5,,55701,FLJ10357,,,
147841,SPC24,,200058,FLJ23867,,,
57405,SPC25,,440556,FLJ42875,,,
25803,SPDEF,,646113,FLJ43390,,,
245711,SPDYA,,399717,FLJ45983,,,
6690,SPINK1,,2316,FLNA,,,
646424,SPINK8,,2318,FLNC,,,
10417,SPON2,,23768,FLRT2,,,
6712,SPTBN2,,23767,FLRT3,,,
80725,SRCIN1,,56776,FMN2,,,
6725,SRMS,,2326,FMO1,,,
23145,SSPO,,2327,FMO2,,,
6751,SSTR1,,2348,FOLR1,,,
26872,STEAP1,,2354,FOSB,,,
6491,STIL,,8061,FOSL1,,,
161497,STRC,,3170,FOXA2,,,
415117,STX19,,2304,FOXE1,,,
25830,SULT4A1,,2294,FOXF1,,,
100130958,SYCE1L,,2299,FOXI1,,,
9066,SYT7,,399823,FOXI2,,,
445347,TARP,,8456,FOXN1,,,
654341,TBC1D3G,,93986,FOXP2,,,
729877,TBC1D3H,,94234,FOXQ1,,,
6899,TBX1,,341640,FREM2,,,
347853,TBX10,,257019,FRMD3,,,
6913,TBX15,,122786,FRMD6,,,
56165,TDRD1,,90167,FRMD7,,,
221400,TDRD6,,9758,FRMPD4,,,
150483,TEKT4,,391059,FRRS1,,,
7015,TERT,,10468,FST,,,
7033,TFF3,,2524,FUT2,,,
7053,TGM3,,2525,FUT3,,,
7060,THBS4,,2528,FUT6,,,
51298,THEG,,5348,FXYD1,,,
7066,THPO,,53826,FXYD6,,,
374500,THSD1P1,,11211,FZD10,,,
7083,TK1,,8324,FZD7,,,
116238,TLCD1,,50486,G0S2,,,
116211,TM4SF19,,2556,GABRA3,,,
81501,TM7SF4,,2561,GABRB2,,,
79838,TMC5,,2568,GABRP,,,
23671,TMEFF2,,55879,GABRQ,,,
54972,TMEM132A,,89792,GAL3ST3,,,
284339,TMEM145,,114805,GALNT13,,,
130733,TMEM178,,11227,GALNT5,,,
202915,TMEM184A,,11226,GALNT6,,,
120224,TMEM45B,,50614,GALNT9,,,
339456,TMEM52,,2587,GALR1,,,
11013,TMSB15A,,2619,GAS1,,,
84899,TMTC4,,2625,GATA3,,,
8784,TNFRSF18,,140628,GATA5,,,
407977,TNFSF12-TNFSF13,,2628,GATM,,,
63923,TNN,,163351,GBP6,,,
7153,TOP2A,,2645,GCK,,,
27324,TOX3,,9245,GCNT3,,,
94241,TP53INP1,,51301,GCNT4,,,
7173,TPO,,145781,GCOM1,,,
286262,TPRN,,2662,GDF10,,,
22974,TPX2,,8200,GDF5,,,
9618,TRAF4,,151449,GDF7,,,
10221,TRIB1,,115557,GEFT,,,
55521,TRIM36,,2670,GFAP,,,
25893,TRIM58,,8328,GFI1B,,,
440730,TRIM67,,2674,GFRA1,,,
9319,TRIP13,,2675,GFRA2,,,
10024,TROAP,,2676,GFRA3,,,
7226,TRPM2,,124975,GGT6,,,
54795,TRPM4,,54810,GIPC2,,,
79054,TRPM8,,2697,GJA1,,,
10103,TSPAN1,,2707,GJB3,,,
144448,TSPAN19,,127534,GJB4,,,
143941,TTC36,,2709,GJB5,,,
7272,TTK,,10052,GJC1,,,
284076,TTLL6,,125111,GJD3,,,
7276,TTR,,342035,GLDN,,,
7280,TUBB2A,,2737,GLI3,,,
10381,TUBB3,,148979,GLIS1,,,
10382,TUBB4,,169792,GLIS3,,,
7291,TWIST1,,441509,GLRA4,,,
11065,UBE2C,,144423,GLT1D1,,,
7349,UCN,,2774,GNAL,,,
54659,UGT1A3,,2775,GNAO1,,,
7363,UGT2B4,,2781,GNAZ,,,
29128,UHRF1,,2791,GNG11,,,
80329,ULBP1,,150763,GPAT2,,,
80328,ULBP2,,2819,GPD1,,,
90249,UNC5A,,2822,GPLD1,,,
391051,UOX,,2823,GPM6A,,,
25806,VAX2,,2824,GPM6B,,,
7425,VGF,,338442,GPR109A,,,
128434,VSTM2L,,8843,GPR109B,,,
171022,WBSCR26,,25960,GPR124,,,
284403,WDR62,,57211,GPR126,,,
374887,YJEFN3,,283383,GPR133,,,
29799,YPEL1,,347088,GPR144,,,
79844,ZDHHC11,,165829,GPR156,,,
100125288,ZGLP1,,23432,GPR161,,,
7546,ZIC2,,55065,GPR172B,,,
85416,ZIC5,,54328,GPR173,,,
51364,ZMYND10,,9283,GPR37L1,,,
90075,ZNF30,,2863,GPR39,,,
147741,ZNF560,,118442,GPR62,,,
55657,ZNF692,,10149,GPR64,,,
57116,ZNF695,,10936,GPR75,,,
741,ZNHIT2,,54329,GPR85,,,
22917,ZP1,,53836,GPR87,,,
7784,ZP3,,9737,GPRASP1,,,
440590,ZYG11A,,51704,GPRC5B,,,
,,,222545,GPRC6A,,,
,,,2877,GPX2,,,
,,,2878,GPX3,,,
,,,2882,GPX7,,,
,,,493869,GPX8,,,
,,,57476,GRAMD1B,,,
,,,57822,GRHL3,,,
,,,2891,GRIA2,,,
,,,2892,GRIA3,,,
,,,2903,GRIN2A,,,
,,,389207,GRXCR1,,,
,,,2938,GSTA1,,,
,,,2939,GSTA2,,,
,,,2944,GSTM1,,,
,,,2946,GSTM2,,,
,,,2947,GSTM3,,,
,,,2948,GSTM4,,,
,,,2949,GSTM5,,,
,,,2950,GSTP1,,,
,,,2996,GYPE,,,
,,,283120,H19,,,
,,,23498,HAAO,,,
,,,9464,HAND2,,,
,,,1404,HAPLN1,,,
,,,60484,HAPLN2,,,
,,,404037,HAPLN4,,,
,,,3037,HAS2,,,
,,,3038,HAS3,,,
,,,3039,HBA1,,,
,,,3043,HBB,,,
,,,493812,HCG11,,,
,,,54435,HCG4,,,
,,,10021,HCN4,,,
,,,23072,HECW1,,,
,,,220296,HEPACAM,,,
,,,9843,HEPH,,,
,,,641654,HEPN1,,,
,,,3077,HFE,,,
,,,57467,HHATL,,,
,,,79802,HHIPL2,,,
,,,64344,HIF3A,,,
,,,10114,HIPK3,,,
,,,3131,HLF,,,
,,,54511,HMGCLL1,,,
,,,3204,HOXA7,,,
,,,3212,HOXB2,,,
,,,3213,HOXB3,,,
,,,3214,HOXB4,,,
,,,3215,HOXB5,,,
,,,3216,HOXB6,,,
,,,3218,HOXB8,,,
,,,3236,HOXD10,,,
,,,3237,HOXD11,,,
,,,3238,HOXD12,,,
,,,3239,HOXD13,,,
,,,51440,HPCAL4,,,
,,,3242,HPD,,,
,,,84842,HPDL,,,
,,,60495,HPSE2,,,
,,,55806,HR,,,
,,,117245,HRASLS5,,,
,,,3274,HRH2,,,
,,,146713,HRNBP3,,,
,,,9955,HS3ST3A1,,,
,,,9953,HS3ST3B1,,,
,,,222537,HS3ST5,,,
,,,64711,HS3ST6,,,
,,,3290,HSD11B1,,,
,,,345275,HSD17B13,,,
,,,22824,HSPA4L,,,
,,,3316,HSPB2,,,
,,,8988,HSPB3,,,
,,,126393,HSPB6,,,
,,,27129,HSPB7,,,
,,,26353,HSPB8,,,
,,,3351,HTR1B,,,
,,,3356,HTR2A,,,
,,,30811,HUNK,,,
,,,3397,ID1,,,
,,,84099,ID2B,,,
,,,3399,ID3,,,
,,,3400,ID4,,,
,,,8870,IER3,,,
,,,83982,IFI27L2,,,
,,,57722,IGDCC4,,,
,,,3481,IGF2,,,
,,,10644,IGF2BP2,,,
,,,3547,IGSF1,,,
,,,285313,IGSF10,,,
,,,152404,IGSF11,,,
,,,132014,IL17RE,,,
,,,3552,IL1A,,,
,,,7850,IL1R2,,,
,,,9173,IL1RL1,,,
,,,8808,IL1RL2,,,
,,,3557,IL1RN,,,
,,,50604,IL20,,,
,,,58985,IL22RA1,,,
,,,90865,IL33,,,
,,,3572,IL6ST,,,
,,,387597,ILDR2,,,
,,,3626,INHBC,,,
,,,11185,INMT,,,
,,,3628,INPP1,,,
,,,3635,INPP5D,,,
,,,387755,INSC,,,
,,,3645,INSRR,,,
,,,117283,IP6K3,,,
,,,79781,IQCA1,,,
,,,440073,IQSEC3,,,
,,,11213,IRAK3,,,
,,,3670,ISL1,,,
,,,64843,ISL2,,,
,,,145501,ISM2,,,
,,,51477,ISYNA1,,,
,,,3672,ITGA1,,,
,,,3673,ITGA2,,,
,,,3678,ITGA5,,,
,,,8516,ITGA8,,,
,,,3680,ITGA9,,,
,,,26548,ITGB1BP2,,,
,,,3690,ITGB3,,,
,,,3691,ITGB4,,,
,,,3694,ITGB6,,,
,,,3696,ITGB8,,,
,,,80760,ITIH5,,,
,,,55600,ITLN1,,,
,,,142683,ITLN2,,,
,,,9452,ITM2A,,,
,,,3706,ITPKA,,,
,,,3708,ITPR1,,,
,,,150771,ITPRIPL1,,,
,,,3713,IVL,,,
,,,9832,JAKMIP2,,,
,,,221895,JAZF1,,,
,,,57158,JPH2,,,
,,,84502,JPH4,,,
,,,84962,JUB,,,
,,,23189,KANK1,,,
,,,25959,KANK2,,,
,,,163782,KANK4,,,
,,,84056,KATNAL1,,,
,,,166348,KBTBD12,,,
,,,3737,KCNA2,,,
,,,7881,KCNAB1,,,
,,,3745,KCNB1,,,
,,,9312,KCNB2,,,
,,,23630,KCNE1L,,,
,,,10008,KCNE3,,,
,,,3754,KCNF1,,,
,,,3756,KCNH1,,,
,,,3757,KCNH2,,,
,,,23416,KCNH3,,,
,,,23415,KCNH4,,,
,,,27133,KCNH5,,,
,,,30818,KCNIP3,,,
,,,3758,KCNJ1,,,
,,,3769,KCNJ13,,,
,,,3772,KCNJ15,,,
,,,3773,KCNJ16,,,
,,,3760,KCNJ3,,,
,,,3762,KCNJ5,,,
,,,3764,KCNJ8,,,
,,,54207,KCNK10,,,
,,,3777,KCNK3,,,
,,,3778,KCNMA1,,,
,,,3779,KCNMB1,,,
,,,3786,KCNQ3,,,
,,,9132,KCNQ4,,,
,,,56479,KCNQ5,,,
,,,3787,KCNS1,,,
,,,3788,KCNS2,,,
,,,343450,KCNT2,,,
,,,375616,KCP,,,
,,,65987,KCTD14,,,
,,,79734,KCTD17,,,
,,,386617,KCTD8,,,
,,,9729,KIAA0408,,,
,,,57462,KIAA1161,,,
,,,57481,KIAA1210,,,
,,,57562,KIAA1377,,,
,,,57710,KIAA1614,,,
,,,85352,KIAA1644,,,
,,,55083,KIF26B,,,
,,,3798,KIF5A,,,
,,,221458,KIF6,,,
,,,55243,KIRREL,,,
,,,84623,KIRREL3,,,
,,,3815,KIT,,,
,,,4254,KITLG,,,
,,,688,KLF5,,,
,,,11279,KLF8,,,
,,,317719,KLHL10,,,
,,,90293,KLHL13,,,
,,,57565,KLHL14,,,
,,,377007,KLHL30,,,
,,,123103,KLHL33,,,
,,,56062,KLHL4,,,
,,,3824,KLRD1,,,
,,,51348,KLRF1,,,
,,,85442,KNDC1,,,
,,,3860,KRT13,,,
,,,3861,KRT14,,,
,,,3866,KRT15,,,
,,,3868,KRT16,,,
,,,3872,KRT17,,,
,,,3880,KRT19,,,
,,,125113,KRT222,,,
,,,25984,KRT23,,,
,,,192666,KRT24,,,
,,,3851,KRT4,,,
,,,3852,KRT5,,,
,,,3853,KRT6A,,,
,,,3854,KRT6B,,,
,,,286887,KRT6C,,,
,,,3855,KRT7,,,
,,,3857,KRT9,,,
,,,8844,KSR1,,,
,,,339855,KY,,,
,,,3897,L1CAM,,,
,,,91133,L3MBTL4,,,
,,,3909,LAMA3,,,
,,,3914,LAMB3,,,
,,,347404,LANCL3,,,
,,,9215,LARGE,,,
,,,204219,LASS3,,,
,,,143903,LAYN,,,
,,,167691,LCA5,,,
,,,389812,LCN15,,,
,,,3934,LCN2,,,
,,,158062,LCN6,,,
,,,11155,LDB3,,,
,,,10637,LEFTY1,,,
,,,10536,LEPREL2,,,
,,,3958,LGALS3,,,
,,,3959,LGALS3BP,,,
,,,3960,LGALS4,,,
,,,3963,LGALS7,,,
,,,653499,LGALS7B,,,
,,,9211,LGI1,,,
,,,203190,LGI3,,,
,,,8549,LGR5,,,
,,,59352,LGR6,,,
,,,340596,LHFPL1,,,
,,,375323,LHFPL4,,,
,,,55679,LIMS2,,,
,,,96626,LIMS3,,,
,,,158038,LINGO2,,,
,,,3990,LIPC,,,
,,,3991,LIPE,,,
,,,9388,LIPG,,,
,,,167410,LIX1,,,
,,,55885,LMO3,,,
,,,25802,LMOD1,,,
,,,100126784,LOC100126784,,,
,,,100128239,LOC100128239,,,
,,,100130238,LOC100130238,,,
,,,100130933,LOC100130933,,,
,,,100133669,LOC100133669,,,
,,,100192378,LOC100192378,,,
,,,100302640,LOC100302640,,,
,,,134466,LOC134466,,,
,,,145820,LOC145820,,,
,,,148824,LOC148824,,,
,,,149837,LOC149837,,,
,,,151174,LOC151174,,,
,,,255167,LOC255167,,,
,,,283070,LOC283070,,,
,,,283392,LOC283392,,,
,,,283856,LOC283856,,,
,,,284276,LOC284276,,,
,,,284837,LOC284837,,,
,,,339535,LOC339535,,,
,,,389493,LOC389493,,,
,,,399959,LOC399959,,,
,,,400759,LOC400759,,,
,,,400804,LOC400804,,,
,,,401093,LOC401093,,,
,,,440173,LOC440173,,,
,,,441666,LOC441666,,,
,,,441869,LOC441869,,,
,,,442421,LOC442421,,,
,,,554202,LOC554202,,,
,,,572558,LOC572558,,,
,,,642587,LOC642587,,,
,,,643008,LOC643008,,,
,,,643763,LOC643763,,,
,,,644538,LOC644538,,,
,,,644936,LOC644936,,,
,,,650623,LOC650623,,,
,,,84856,LOC84856,,,
,,,29931,LOH3CR2A,,,
,,,79836,LONRF3,,,
,,,4018,LPA,,,
,,,1902,LPAR1,,,
,,,54947,LPCAT2,,,
,,,23284,LPHN3,,,
,,,4026,LPP,,,
,,,9227,LRAT,,,
,,,57631,LRCH2,,,
,,,145581,LRFN5,,,
,,,4033,LRMP,,,
,,,53353,LRP1B,,,
,,,4038,LRP4,,,
,,,10234,LRRC17,,,
,,,79442,LRRC2,,,
,,,116135,LRRC3B,,,
,,,64101,LRRC4,,,
,,,254050,LRRC43,,,
,,,120892,LRRK2,,,
,,,54674,LRRN3,,,
,,,347730,LRRTM1,,,
,,,347731,LRRTM3,,,
,,,4045,LSAMP,,,
,,,4057,LTF,,,
,,,8581,LY6D,,,
,,,58530,LY6G6D,,,
,,,54742,LY6K,,,
,,,4065,LY75,,,
,,,130576,LYPD6B,,,
,,,10894,LYVE1,,,
,,,4081,MAB21L1,,,
,,,346389,MACC1,,,
,,,84944,MAEL,,,
,,,139599,MAGEE2,,,
,,,4118,MAL,,,
,,,256691,MAMDC2,,,
,,,84441,MAML2,,,
,,,10046,MAMLD1,,,
,,,284358,MAMSTR,,,
,,,4129,MAOB,,,
,,,4130,MAP1A,,,
,,,4131,MAP1B,,,
,,,83742,MARVELD1,,,
,,,5648,MASP1,,,
,,,375449,MAST4,,,
,,,4143,MAT1A,,,
,,,4147,MATN2,,,
,,,8785,MATN4,,,
,,,10150,MBNL2,,,
,,,55796,MBNL3,,,
,,,4162,MCAM,,,
,,,4163,MCC,,,
,,,4168,MCF2,,,
,,,29969,MDFIC,,,
,,,4199,ME1,,,
,,,2122,MECOM,,,
,,,84466,MEGF10,,,
,,,4211,MEIS1,,,
,,,4212,MEIS2,,,
,,,4213,MEIS3P1,,,
,,,317751,MESTIT1,,,
,,,4233,MET,,,
,,,25840,METTL7A,,,
,,,8076,MFAP5,,,
,,,84879,MFSD2A,,,
,,,8972,MGAM,,,
,,,25834,MGAT4C,,,
,,,113691,MGC16703,,,
,,,117153,MIA2,,,
,,,23209,MLC1,,,
,,,4311,MME,,,
,,,4325,MMP16,,,
,,,22915,MMRN1,,,
,,,79817,MOBKL2B,,,
,,,4353,MPO,,,
,,,4355,MPP2,,,
,,,4359,MPZ,,,
,,,10205,MPZL2,,,
,,,3140,MR1,,,
,,,112609,MRAP2,,,
,,,116535,MRGPRF,,,
,,,83876,MRO,,,
,,,10335,MRVI1,,,
,,,10232,MSLN,,,
,,,253827,MSRB3,,,
,,,51765,MST4,,,
,,,10903,MTMR11,,,
,,,55613,MTMR8,,,
,,,4547,MTTP,,,
,,,143662,MUC15,,,
,,,394263,MUC21,,,
,,,4585,MUC4,,,
,,,4588,MUC6,,,
,,,439921,MXRA7,,,
,,,4629,MYH11,,,
,,,4620,MYH2,,,
,,,4621,MYH3,,,
,,,4624,MYH6,,,
,,,4625,MYH7,,,
,,,4632,MYL1,,,
,,,4634,MYL3,,,
,,,10398,MYL9,,,
,,,4638,MYLK,,,
,,,53904,MYO3A,,,
,,,4653,MYOC,,,
,,,93649,MYOCD,,,
,,,26509,MYOF,,,
,,,8736,MYOM1,,,
,,,9499,MYOT,,,
,,,58529,MYOZ1,,,
,,,51778,MYOZ2,,,
,,,91977,MYOZ3,,,
,,,10003,NAALAD2,,,
,,,10004,NAALADL1,,,
,,,23148,NACAD,,,
,,,138151,NACC2,,,
,,,162417,NAGS,,,
,,,10,NAT2,,,
,,,89797,NAV2,,,
,,,89795,NAV3,,,
,,,79804,NBLA00301,,,
,,,4684,NCAM1,,,
,,,342897,NCCRP1,,,
,,,644596,NCRNA00087,,,
,,,100188953,NCRNA00092,,,
,,,503538,NCRNA00181,,,
,,,23413,NCS1,,,
,,,4693,NDP,,,
,,,57447,NDRG2,,,
,,,65009,NDRG4,,,
,,,64168,NECAB1,,,
,,,4744,NEFH,,,
,,,4747,NEFL,,,
,,,4741,NEFM,,,
,,,257194,NEGR1,,,
,,,152110,NEK10,,,
,,,4753,NELL2,,,
,,,54492,NEURL1B,,,
,,,93082,NEURL3,,,
,,,91624,NEXN,,,
,,,4773,NFATC2,,,
,,,4804,NGFR,,,
,,,4808,NHLH2,,,
,,,4810,NHS,,,
,,,340527,NHSL2,,,
,,,4811,NID1,,,
,,,348938,NIPAL4,,,
,,,222698,NKAPL,,,
,,,85407,NKD1,,,
,,,22871,NLGN1,,,
,,,54413,NLGN3,,,
,,,338323,NLRP14,,,
,,,10316,NMUR1,,,
,,,9241,NOG,,,
,,,4842,NOS1,,,
,,,27035,NOX1,,,
,,,266743,NPAS4,,,
,,,10886,NPFFR2,,,
,,,4880,NPPC,,,
,,,4882,NPR2,,,
,,,4888,NPY6R,,,
,,,9971,NR1H4,,,
,,,2908,NR3C1,,,
,,,8013,NR4A3,,,
,,,4892,NRAP,,,
,,,3084,NRG1,,,
,,,9542,NRG2,,,
,,,10718,NRG3,,,
,,,203447,NRK,,,
,,,8828,NRP2,,,
,,,9378,NRXN1,,,
,,,9369,NRXN3,,,
,,,4907,NT5E,,,
,,,4908,NTF3,,,
,,,4909,NTF4,,,
,,,9423,NTN1,,,
,,,59277,NTN4,,,
,,,4914,NTRK1,,,
,,,4915,NTRK2,,,
,,,4916,NTRK3,,,
,,,170685,NUDT10,,,
,,,57523,NYNRIN,,,
,,,4942,OAT,,,
,,,4948,OCA2,,,
,,,54959,ODAM,,,
,,,161753,ODF3L1,,,
,,,57451,ODZ2,,,
,,,55714,ODZ3,,,
,,,4969,OGN,,,
,,,10562,OLFM4,,,
,,,283298,OLFML1,,,
,,,169611,OLFML2A,,,
,,,4978,OPCML,,,
,,,26659,OR7A5,,,
,,,26664,OR7C1,,,
,,,341277,OVCH2,,,
,,,165140,OXER1,,,
,,,5023,P2RX1,,,
,,,22953,P2RX2,,,
,,,9127,P2RX6,,,
,,,5027,P2RX7,,,
,,,64805,P2RY12,,,
,,,5029,P2RY2,,,
,,,132430,PABPC4L,,,
,,,11240,PADI2,,,
,,,51702,PADI3,,,
,,,5047,PAEP,,,
,,,9506,PAGE4,,,
,,,5053,PAH,,,
,,,5063,PAK3,,,
,,,57144,PAK7,,,
,,,23022,PALLD,,,
,,,342979,PALM3,,,
,,,390928,PAPL,,,
,,,5069,PAPPA,,,
,,,60676,PAPPA2,,,
,,,54852,PAQR5,,,
,,,164091,PAQR7,,,
,,,85315,PAQR8,,,
,,,8123,PAR5,,,
,,,25849,PARM1,,,
,,,160065,PATE1,,,
,,,100169851,PATE3,,,
,,,399968,PATE4,,,
,,,7849,PAX8,,,
,,,5087,PBX1,,,
,,,57575,PCDH10,,,
,,,27328,PCDH11X,,,
,,,83259,PCDH11Y,,,
,,,54510,PCDH18,,,
,,,64881,PCDH20,,,
,,,5099,PCDH7,,,
,,,5101,PCDH9,,,
,,,56134,PCDHAC2,,,
,,,56106,PCDHGA10,,,
,,,26025,PCDHGA12,,,
,,,56107,PCDHGA9,,,
,,,56099,PCDHGB7,,,
,,,200373,PCDP1,,,
,,,5121,PCP4,,,
,,,654790,PCP4L1,,,
,,,5126,PCSK2,,,
,,,255738,PCSK9,,,
,,,9468,PCYT1B,,,
,,,5137,PDE1C,,,
,,,5138,PDE2A,,,
,,,5139,PDE3A,,,
,,,5141,PDE4A,,,
,,,8654,PDE5A,,,
,,,5158,PDE6B,,,
,,,27115,PDE7B,,,
,,,56034,PDGFC,,,
,,,80310,PDGFD,,,
,,,204474,PDILT,,,
,,,5166,PDK4,,,
,,,9124,PDLIM1,,,
,,,9260,PDLIM7,,,
,,,10630,PDPN,,,
,,,29951,PDZRN4,,,
,,,23089,PEG10,,,
,,,5178,PEG3,,,
,,,5179,PENK,,,
,,,80055,PGAP1,,,
,,,5228,PGF,,,
,,,5239,PGM5,,,
,,,595135,PGM5P2,,,
,,,145814,PGPEP1L,,,
,,,5241,PGR,,,
,,,116154,PHACTR3,,,
,,,22822,PHLDA1,,,
,,,254295,PHYHD1,,,
,,,9796,PHYHIP,,,
,,,84457,PHYHIPL,,,
,,,221476,PI16,,,
,,,5288,PIK3C2G,,,
,,,5295,PIK3R1,,,
,,,5304,PIP,,,
,,,8395,PIP5K1B,,,
,,,138429,PIP5KL1,,,
,,,51268,PIPOX,,,
,,,83394,PITPNM3,,,
,,,5308,PITX2,,,
,,,55124,PIWIL2,,,
,,,114780,PKD1L2,,,
,,,93035,PKHD1L1,,,
,,,50487,PLA2G3,,,
,,,5321,PLA2G4A,,,
,,,283748,PLA2G4D,,,
,,,219348,PLAC9,,,
,,,5324,PLAG1,,,
,,,79887,PLBD1,,,
,,,113026,PLCD3,,,
,,,5334,PLCL1,,,
,,,5337,PLD1,,,
,,,200150,PLD5,,,
,,,59339,PLEKHA2,,,
,,,26030,PLEKHG3,,,
,,,130271,PLEKHH2,,,
,,,729359,PLIN4,,,
,,,51090,PLLP,,,
,,,5350,PLN,,,
,,,5354,PLP1,,,
,,,5355,PLP2,,,
,,,5358,PLS3,,,
,,,57088,PLSCR4,,,
,,,91584,PLXNA4,,,
,,,10154,PLXNC1,,,
,,,148811,PM20D1,,,
,,,5375,PMP2,,,
,,,5376,PMP22,,,
,,,139728,PNCK,,,
,,,9240,PNMA1,,,
,,,10687,PNMA2,,,
,,,55228,PNMAL1,,,
,,,57469,PNMAL2,,,
,,,5409,PNMT,,,
,,,79983,POF1B,,,
,,,5443,POMC,,,
,,,5446,PON3,,,
,,,64091,POPDC2,,,
,,,5450,POU2AF1,,,
,,,5452,POU2F2,,,
,,,25833,POU2F3,,,
,,,5453,POU3F1,,,
,,,5455,POU3F3,,,
,,,84814,PPAPDC3,,,
,,,10891,PPARGC1A,,,
,,,133522,PPARGC1B,,,
,,,151742,PPM1L,,,
,,,4660,PPP1R12B,,,
,,,81706,PPP1R14C,,,
,,,5502,PPP1R1A,,,
,,,151242,PPP1R1C,,,
,,,5507,PPP1R3C,,,
,,,5521,PPP2R2B,,,
,,,55370,PPP4R1L,,,
,,,160760,PPTC7,,,
,,,56981,PRDM11,,,
,,,63976,PRDM16,,,
,,,11107,PRDM5,,,
,,,56978,PRDM8,,,
,,,153768,PRELID2,,,
,,,80243,PREX2,,,
,,,144165,PRICKLE1,,,
,,,166336,PRICKLE2,,,
,,,145270,PRIMA1,,,
,,,5578,PRKCA,,,
,,,5579,PRKCB,,,
,,,5592,PRKG1,,,
,,,5593,PRKG2,,,
,,,5625,PRODH,,,
,,,84432,PROK1,,,
,,,8842,PROM1,,,
,,,5629,PROX1,,,
,,,5630,PRPH,,,
,,,5961,PRPH2,,,
,,,79056,PRRG4,,,
,,,5644,PRSS1,,,
,,,8492,PRSS12,,,
,,,10279,PRSS16,,,
,,,10942,PRSS21,,,
